video_id,title,channel_name,tanggal,author,komentar,label,komentar_clean,predicted_label,cleaned,stemmed,tokens,token_count,char_count
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.165.853.840,FaiqFadhlulaziz-gf3ey,gass modif motorr,0,gass modif motorr,0,gass modif motorr,gass modif motorr,"['gass', 'modif', 'motorr']",3,17
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.398.234.845.120,scienyang6834,Saya Pakai Huawei P30 sdh 5thn lbh...sampai skrg perfoma masih Ok,0,saya pakai huawei p30 sdh 5thn lbh ... sampai skrg perfoma masih ok,0,saya pakai huawei peo sdh sthn lbh sampai skrg perfoma masih ok,saya pakai huawei peo sdh sthn lbh sampai skrg perfoma masih ok,"['saya', 'pakai', 'huawei', 'peo', 'sdh', 'sthn', 'lbh', 'sampai', 'skrg', 'perfoma', 'masih', 'ok']",12,65
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.383.425.167.590,isalhadii,"Lucu banget pas skak hahahhaa, Mantap pak Ahok rasain lu jiii",0,"lucu banget pas skak hahahhaa , mantap pak ahok rasain lu jiii",0,lucu banget pas skak hahahhaa mantap pak ahok rasain lu jiii,lucu banget pas skak hahahhaa mantap pak ahok rasain lu jiii,"['lucu', 'banget', 'pas', 'skak', 'hahahhaa', 'mantap', 'pak', 'ahok', 'rasain', 'lu', 'jiii']",11,61
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,174.533.701.511.518,pratammafn4484,mending ditabung buat beli tanah atau sawah🤣,0,mending ditabung buat beli tanah atau sawah,0,mending ditabung buat beli tanah atau sawah,mending tabung buat beli tanah atau sawah,"['mending', 'ditabung', 'buat', 'beli', 'tanah', 'atau', 'sawah']",7,44
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.344.228.974.920,AndreHidayatullah,TIM YANG SUDAH BELI 🎉,0,tim yang sudah beli,0,tim yang sudah beli,tim yang sudah beli,"['tim', 'yang', 'sudah', 'beli']",4,21
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.361.964.177.240,kingarjuna85,"Numpang tenar, yg lagi hits kah??? 😮😮",0,"numpang tenar , yg lagi hits kah ? ? ?",0,numpang tenar yg lagi hits kah,numpang tenar yg lagi hits kah,"['numpang', 'tenar', 'yg', 'lagi', 'hits', 'kah']",6,37
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.336.764.863.030,muhammadtaqiyudienpakaya5935,Ngakak cik,0,ngakak cik,0,ngakak cik,ngakak cik,"['ngakak', 'cik']",2,10
aA9G2sW212g,PEVS 2025 banyak kejutan,Om Mobi,2025-04-30 11:15:00+00:00,arsipatrauwais,"sehari join alexis17 , gue udah dapet cuan beli laptop !",1,"sehari join alexis17 , gue udah dapet cuan beli laptop !",1,sehari join alexisit gue udah dapet cuan beli laptop,hari join alexisit gue udah dapet cuan beli laptop,"['sehari', 'join', 'alexisit', 'gue', 'udah', 'dapet', 'cuan', 'beli', 'laptop']",9,56
kUom1fDXs4A,MOBIL-MOBIL PALING KAMI SUKA DI IIMS 2025 | FEAT. OM MOBI,Fitra Eri,1.739.947.021.546.600,ShanelleCarvalho,Apalagi ini 𝐁𝐔𝐊𝐈𝐓𝟖𝟖𝟖,1,𝐁𝐔𝐊𝐈𝐓𝟖𝟖𝟖,1,apalagi ini bukit888,apalagi ini bukit888,"['apalagi', 'ini', 'bukit888']",3,20
XI8K0-_kbHc,GAK NYANGKA BISA BEGINI! PENGENDARA DIJALAN SAMPAI BINGUNG LIHAT HUMMER EV | GLAMOUR AUTO BOUTIQUE,Jejelogy,1.739.687.894.503.480,harditozifitranovandra8744,Sekilas dri samping mirip fj cruser,0,sekilas dri samping fj cruser,0,sekilas dri samping mirip fj cruser,kilas dri samping mirip fj cruser,"['sekilas', 'dri', 'samping', 'mirip', 'fj', 'cruser']",6,35
gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,monserratmattsontomasshin-s8i,gw demen gas 𝐒𝐆𝐈𝟖𝟖 wkwkwkww seru . sering2 sih mah,1,gw demen gas 𝐒𝐆𝐈𝟖𝟖 wkwkwkww seru . sering2 sih mah,1,gw demen gas sgi88 wkwkwkww seru sering2 sih mah,gw demen gas sgi88 wkwkwkww seru sering2 sih mah,"['gw', 'demen', 'gas', 'sgi88', 'wkwkwkww', 'seru', 'sering2', 'sih', 'mah']",9,50
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.283.961.450,abenkbarker,Siapapun semua yg udh kepilih kaya iat,0,siapapun semua yg udh kepilih kaya iat,0,siapapun semua yg udh kepilih kaya iat,siapa semua yg udh pilih kaya iat,"['siapapun', 'semua', 'yg', 'udh', 'kepilih', 'kaya', 'iat']",7,38
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.387.046.020.310,fransiscosteven5688,Undang bang adiaaaannn,0,undang bang adiaaaannn,0,undang bang adiaaaannn,undang bang adiaaaannn,"['undang', 'bang', 'adiaaaannn']",3,22
VAEyOCCBlx4,KING OF AEROX !! Modifikasi Yamaha Aerox Alpha Turbo by Nakano Garage #AtenxKatros,Atenx Katros,173.997.238.446.137,rifkyhidayat8685,Thx mas Atenx 🫡,0,thx mas atenx,0,thx mas atenx,thx mas atenx,"['thx', 'mas', 'atenx']",3,15
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.153.467.340,MwhdHlmi,"Jangan,cakepan gitu",0,", cakepan gitu",0,jangan cakepan gitu,jangan cakep gitu,"['jangan', 'cakepan', 'gitu']",3,19
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.383.449.323.220,spamberuang2367,head 2 head sama KDM bakal kalah kalow modelnya popularitas,0,head 2 head sama kdm bakal kalah kalow modelnya popularitas,0,head 2 head sama kdm bakal kalah kalow modelnya popularitas,head 2 head sama kdm bakal kalah kalow model popularitas,"['head', '2', 'head', 'sama', 'kdm', 'bakal', 'kalah', 'kalow', 'modelnya', 'popularitas']",10,59
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.292.853.810,daviddzaky1065,gabisa brooo di potong moderatornya,0,gabisa brooo di potong moderatornya,0,gabisa brooo di potong moderatornya,gabisa brooo di potong moderator,"['gabisa', 'brooo', 'di', 'potong', 'moderatornya']",5,35
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.416.242.855.170,YueYao-x5q,"Gw liatnya 2024, ada player pubg yg make",0,"gw liatnya 2024 , ada player pubg yg make",0,gw liatnya 2o2a ada player pubg yg make,gw liat 2o2a ada player pubg yg make,"['gw', 'liatnya', '2o2a', 'ada', 'player', 'pubg', 'yg', 'make']",8,40
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,FitriPermadi-r3n,gue sih udah pasang alarm khusus main alexis17 .,1,gue sih udah pasang alarm khusus main alexis17 .,1,gue sih udah pasang alarm khusus main alexisit,gue sih udah pasang alarm khusus main alexisit,"['gue', 'sih', 'udah', 'pasang', 'alarm', 'khusus', 'main', 'alexisit']",8,48
8AzDe6gMOck,BRZ Farrel Siap untuk Indonesian Drift Series‼️,Garasi Drift,2025-05-02 09:00:09+00:00,CheyenneDelgadillo-l8c,0:03 keren coba bang gas 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1,0:03 keren coba bang gas 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1,o oe keren coba bang gas weton88,o oe keren coba bang gas weton88,"['o', 'oe', 'keren', 'coba', 'bang', 'gas', 'weton88']",7,32
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.337.023.578.860,devankailham8623, @Fate-v9f  apa apa kok dikaitin ke game 😂 kocak. pasarnya aja beda,0,-v9f apa apa kok dikaitin ke game kocak . pasarnya aja beda,0,afate v9f apa apa kok dikaitin ke game kocak pasarnya aja beda,afate v9f apa apa kok dikaitin ke game kocak pasar aja beda,"['afate', 'v9f', 'apa', 'apa', 'kok', 'dikaitin', 'ke', 'game', 'kocak', 'pasarnya', 'aja', 'beda']",12,67
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.387.093.640.060,m.a.s.project,dua duanya juga sama saja pak.. mau gimana lagi ga da pilihan lain,0,dua duanya juga sama saja pak .. mau gimana lagi ga da pilihan lain,0,dua duanya juga sama saja pak mau gimana lagi ga da pilihan lain,dua dua juga sama saja pak mau gimana lagi ga da pilih lain,"['dua', 'duanya', 'juga', 'sama', 'saja', 'pak', 'mau', 'gimana', 'lagi', 'ga', 'da', 'pilihan', 'lain']",13,66
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.745.251.184.816.860,DesiSanjaya-p7d,Wajib coba! Setia banget sama ⚡ALEXIS17⚡ sejak awal!,1,wajib coba ! setia banget sama alexis17 sejak awal !,1,wajib coba setia banget sama alexisit sejak awal,wajib coba setia banget sama alexisit sejak awal,"['wajib', 'coba', 'setia', 'banget', 'sama', 'alexisit', 'sejak', 'awal']",8,52
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.745.251.184.427.370,LestariGunawan-i2p,🔥ＡＬＥＸＩＳ１７🔥 Selalu kasih vibe positif. Rasain sendiri keseruannya!,1,ａｌｅｘｉｓ１７ selalu kasih vibe positif . rasain sendiri keseruannya !,1,alexisit selalu kasih vibe positif rasain sendiri keseruannya,alexisit selalu kasih vibe positif rasain sendiri seru,"['alexisit', 'selalu', 'kasih', 'vibe', 'positif', 'rasain', 'sendiri', 'keseruannya']",8,65
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.599.667.056.870,akmalfikrimaulana_s1pvtm74,Bang bilal di suruh olahraga bang biar ttp sehat,0,bang bilal suruh olahraga bang biar ttp sehat,0,bang bilal di suruh olahraga bang biar ttp sehat,bang bilal di suruh olahraga bang biar ttp sehat,"['bang', 'bilal', 'di', 'suruh', 'olahraga', 'bang', 'biar', 'ttp', 'sehat']",9,48
rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,SitiNugroho-l6h,dapetin info 𝘼𝙇𝙀𝙓𝙄𝙎17 ? fix .,1,dapetin info 𝘼𝙇𝙀𝙓𝙄𝙎17 ? fix .,1,dapetin info alexisit fix,dapetin info alexisit fix,"['dapetin', 'info', 'alexisit', 'fix']",4,29
5MBwJpU-9tg,"Rifat Sungkar Mau Bikin Sirkuit⁉️ | Dipo, Ziko Belajar Dari Suhu Motorsports",Garasi Drift Podcast,2025-04-30 09:00:07+00:00,luwardarmawan,"rezeki nggak kemana , makasih alexis17 !",1,"rezeki nggak kemana , makasih alexis17 !",1,rezeki nggak kemana makasih alexisit,rezeki nggak mana makasih alexisit,"['rezeki', 'nggak', 'kemana', 'makasih', 'alexisit']",5,40
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.383.430.058.650,masjlw9569,Dukung Anies-Ahok 2029 🔥,0,dukung anies-ahok 2029,0,dukung anies ahok 2o29,dukung anies ahok 2o29,"['dukung', 'anies', 'ahok', '2o29']",4,24
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.337.037.802.940,NurulMuhsini,Bahas vivo x200 ultera dong bang,0,bahas vivo x200 ultera dong bang,0,bahas vivo x2oo ultera dong bang,bahas vivo x2oo ultera dong bang,"['bahas', 'vivo', 'x2oo', 'ultera', 'dong', 'bang']",6,32
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.373.049.136.380,saputt_store,50 jt aj bjir🗿🗿,0,50 jt aj bjir,0,so jt aj bjir,so jt aj bjir,"['so', 'jt', 'aj', 'bjir']",4,15
XI8K0-_kbHc,GAK NYANGKA BISA BEGINI! PENGENDARA DIJALAN SAMPAI BINGUNG LIHAT HUMMER EV | GLAMOUR AUTO BOUTIQUE,Jejelogy,1.739.687.896.316.050,fahmiromli2416,Gus iqdam pon ada juga hummer,0,gus iqdam pon hummer,0,gus iqdam pon ada juga hummer,gus iqdam pon ada juga hummer,"['gus', 'iqdam', 'pon', 'ada', 'juga', 'hummer']",6,29
ycGdOc17FhA,"CITY HATCHBACK NAIK SPEK, MENGEJUTKAN DI MANDALIKA",Fitra Eri,2025-04-26 06:01:01+00:00,WolffMarina-t7z,"keren banget ! menang 𝐒𝐆𝐈𝟖𝟖 , auto liburan mewah !",1,"keren banget ! menang 𝐒𝐆𝐈𝟖𝟖 , auto liburan mewah !",1,keren banget menang sgi88 auto liburan mewah,keren banget menang sgi88 auto libur mewah,"['keren', 'banget', 'menang', 'sgi88', 'auto', 'liburan', 'mewah']",7,50
ycGdOc17FhA,"CITY HATCHBACK NAIK SPEK, MENGEJUTKAN DI MANDALIKA",Fitra Eri,2025-04-26 06:01:01+00:00,TimothyLevineansen-c7g,berkembang arhan semangattt ! ! ! ! ! salam 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 ! gampang jepe,1,berkembang arhan semangattt ! ! ! ! ! salam 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 ! gampang jepe,1,berkembang arhan semangattt salam weton88 gampang jepe,kembang arhan semangattt salam weton88 gampang jepe,"['berkembang', 'arhan', 'semangattt', 'salam', 'weton88', 'gampang', 'jepe']",7,66
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.376.202.496.620,irwanchandra9156,"bener, ngakak gw dengernya, padahal dengerin sambil kerja 🤣",0,"bener , ngakak gw dengernya , padahal dengerin sambil kerja",0,bener ngakak gw dengernya padahal dengerin sambil kerja,bener ngakak gw dengernya padahal dengerin sambil kerja,"['bener', 'ngakak', 'gw', 'dengernya', 'padahal', 'dengerin', 'sambil', 'kerja']",8,59
8AzDe6gMOck,BRZ Farrel Siap untuk Indonesian Drift Series‼️,Garasi Drift,2025-05-02 09:00:09+00:00,GeneRashawn-l4f,terima kasi rezekinya 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1,terima kasi rezekinya 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1,terima kasi rezekinya weton88,terima kasi rezeki weton88,"['terima', 'kasi', 'rezekinya', 'weton88']",4,29
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,ทวีสิทธิ์สุจิมงคล,bang sattt lah-ga ru da-ho ki gacoor bgt candu gua,1,bang sattt lah-ga ru da-ho ki gacoor bgt candu gua,1,bang sattt lah ga ru da ho ki gacoor bgt candu gua,bang sattt lah ga ru da ho ki gacoor bgt candu gua,"['bang', 'sattt', 'lah', 'ga', 'ru', 'da', 'ho', 'ki', 'gacoor', 'bgt', 'candu', 'gua']",12,50
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,sabaradriansyah-j4b,"seminggu main alexis17 , gue udah bayar spp anak setahun !",1,"seminggu main alexis17 , gue udah bayar spp anak setahun !",1,seminggu main alexisit gue udah bayar spp anak setahun,minggu main alexisit gue udah bayar spp anak tahun,"['seminggu', 'main', 'alexisit', 'gue', 'udah', 'bayar', 'spp', 'anak', 'setahun']",9,58
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.164.444.470,BORISRoddy,"P U L A U 7 7 7 bikin senyum gak berhenti, mantap pol!",1,"p u l a u 7 7 7 bikin senyum gak berhenti , mantap pol !",1,p u l a u t t t bikin senyum gak berhenti mantap pol,p u l a u t t t bikin senyum gak henti mantap pol,"['p', 'u', 'l', 'a', 'u', 't', 't', 't', 'bikin', 'senyum', 'gak', 'berhenti', 'mantap', 'pol']",14,54
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,NovitaAini-f3s,kali nemu platform sehebat alexis17 .,1,kali nemu platform sehebat alexis17 .,1,kali nemu platform sehebat alexisit,kali nemu platform hebat alexisit,"['kali', 'nemu', 'platform', 'sehebat', 'alexisit']",5,37
nUD3rXzI0cU,Apakah Parts Mahal ini Berguna!? I Prepare SEA DRIFT SERIES FD,Umbu Gillberth,1.739.600.651.402.890,mifthaputrawibisono651,"Letsss goooo buat bsk, all in umbu 🔥🔥",0,"letsss goooo bsk , all in umbu",0,letsss goooo buat bsk all in umbu,letsss goooo buat bsk all in umbu,"['letsss', 'goooo', 'buat', 'bsk', 'all', 'in', 'umbu']",7,37
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.419.583.227.490,Username_w3s,Video ini bs ditakedown kah? Drpd nambah dosa....😂,0,video ini bs ditakedown kah ? drpd nambah dosa ....,0,video ini bs ditakedown kah drpd nambah dosa,video ini bs ditakedown kah drpd nambah dosa,"['video', 'ini', 'bs', 'ditakedown', 'kah', 'drpd', 'nambah', 'dosa']",8,50
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,17.454.122.378.121,soekarmana,"24:33 WKWKWKWKW
ini yang komedian siapa sih sebenernya",0,24:33 wkwkwkwkw ini yang komedian siapa sih sebenernya,0,2a ee wkwkwkwkw ini yang komedian siapa sih sebenernya,2a ee wkwkwkwkw ini yang komedian siapa sih sebenernya,"['2a', 'ee', 'wkwkwkwkw', 'ini', 'yang', 'komedian', 'siapa', 'sih', 'sebenernya']",9,54
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.953.527.748.550,WALKERMckeon,Jakpot besar bikin aku makin 4:51 percaya sama keberuntungan di M𝗮𝘯𝐝𝗮𝑙𝗶𝘬𝐚𝟟𝟳!! 😷 🤒,1,jakpot bikin 4:51 percaya keberuntungan m𝗮𝘯𝐝𝗮𝑙𝗶𝘬𝐚𝟟𝟳 ! !,1,jakpot besar bikin aku makin a si percaya sama keberuntungan di mandalikatt,jakpot besar bikin aku makin a si percaya sama untung di mandalikatt,"['jakpot', 'besar', 'bikin', 'aku', 'makin', 'a', 'si', 'percaya', 'sama', 'keberuntungan', 'di', 'mandalikatt']",12,81
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,KeithHolloway-i9j,"situs terbesar kebanggan gw , alexis17",1,"situs terbesar kebanggan gw , alexis17",1,situs terbesar kebanggan gw alexisit,situs besar banggan gw alexisit,"['situs', 'terbesar', 'kebanggan', 'gw', 'alexisit']",5,38
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.553.589.620,AriffAiman-q3o,bagus ding,0,bagus ding,0,bagus ding,bagus ding,"['bagus', 'ding']",2,10
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.538.119.070,riyannursetyawan8374,13:55 ada makhluk halus,0,13:55 makhluk halus,0,ie ss ada makhluk halus,ie ss ada makhluk halus,"['ie', 'ss', 'ada', 'makhluk', 'halus']",5,23
kUom1fDXs4A,MOBIL-MOBIL PALING KAMI SUKA DI IIMS 2025 | FEAT. OM MOBI,Fitra Eri,1.739.947.018.685.080,haikalnadhif1060,Ritual setiap ada pameran otomotif,0,ritual pameran otomotif,0,ritual setiap ada pameran otomotif,ritual tiap ada pamer otomotif,"['ritual', 'setiap', 'ada', 'pameran', 'otomotif']",5,34
zFhBO9uoGYA,INDONESIAN DRIFT SERIES TERAKHIR di sini,Om Mobi,2025-05-04 13:36:57+00:00,Pokeetric1234,"gak kecewa pawpaw4d , kasih terbaik .",1,"gak kecewa pawpaw4d , kasih terbaik .",1,gak kecewa pawpawad kasih terbaik,gak kecewa pawpawad kasih baik,"['gak', 'kecewa', 'pawpawad', 'kasih', 'terbaik']",5,37
aA9G2sW212g,PEVS 2025 banyak kejutan,Om Mobi,2025-04-30 11:15:00+00:00,airlanggadartono,"gue sih percaya aja alexis17 , gak ngecewain .",1,"gue sih percaya aja alexis17 , gak ngecewain .",1,gue sih percaya aja alexisit gak ngecewain,gue sih percaya aja alexisit gak ngecewain,"['gue', 'sih', 'percaya', 'aja', 'alexisit', 'gak', 'ngecewain']",7,46
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.362.489.380,trixiejanice7879,4:13 alwayssss si bapaknya tehhh 😭😭😭,0,4:13 alwayssss si bapaknya tehhh,0,a ie alwayssss si bapaknya tehhh,a ie alwayssss si bapak tehhh,"['a', 'ie', 'alwayssss', 'si', 'bapaknya', 'tehhh']",6,36
XI8K0-_kbHc,GAK NYANGKA BISA BEGINI! PENGENDARA DIJALAN SAMPAI BINGUNG LIHAT HUMMER EV | GLAMOUR AUTO BOUTIQUE,Jejelogy,1.739.687.897.323.070,ElizbethReese,ＭΛＮDALIKΛ𝟟𝟟 bikin ketagihan! 4:19,1,ｍλｎdalikλ𝟟𝟟 bikin ketagihan ! 4:19,1,mlndalikltt bikin ketagihan a i9,mlndalikltt bikin tagih a i9,"['mlndalikltt', 'bikin', 'ketagihan', 'a', 'i9']",5,33
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.394.644.613.630,iqbalwpradipta4788,nunggu yang bisa lipet 5,0,nunggu yang bisa lipet 5,0,nunggu yang bisa lipet s,nunggu yang bisa lipet s,"['nunggu', 'yang', 'bisa', 'lipet', 's']",5,24
zFhBO9uoGYA,INDONESIAN DRIFT SERIES TERAKHIR di sini,Om Mobi,2025-05-04 13:36:57+00:00,MotorRacing-v8m,04:31 ─═𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵 ═─ ngga lawan emang,1,04:31 ─═𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵 ═─ ngga lawan emang,1,oa ei berkah99 ngga lawan emang,oa ei berkah99 ngga lawan emang,"['oa', 'ei', 'berkah99', 'ngga', 'lawan', 'emang']",6,36
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.532.353.050,APurnama,ASC kan kepanjangannya Ahmad Syahroni Center 😂,0,asc kepanjangannya ahmad syahroni center,0,asc kan kepanjangannya ahmad syahroni center,asc kan panjang ahmad syahroni center,"['asc', 'kan', 'kepanjangannya', 'ahmad', 'syahroni', 'center']",6,46
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.357.872.660,SenopatiWirang-k4n,Udah terang nih.....😁,0,udah terang nih .....,0,udah terang nih,udah terang nih,"['udah', 'terang', 'nih']",3,21
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.532.771.630,hidayatpakpahan,Crazy rich tanjung priok 😁,0,crazy rich tanjung priok,0,crazy rich tanjung priok,crazy rich tanjung priok,"['crazy', 'rich', 'tanjung', 'priok']",4,26
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.354.238.510,rinarsih5433,"Maaf saya ngga kuat, saya sudahi nonton di menit 5",0,"maaf saya ngga kuat , saya sudahi nonton di menit 5",0,maaf saya ngga kuat saya sudahi nonton di menit s,maaf saya ngga kuat saya sudah nonton di menit s,"['maaf', 'saya', 'ngga', 'kuat', 'saya', 'sudahi', 'nonton', 'di', 'menit', 's']",10,50
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.953.536.956.750,BilginDerya,"Jika Anda menikmati permainan strategis, M𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳 mungkin menarik.",1,"menikmati permainan strategis , m𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳 menarik .",1,jika anda menikmati permainan strategis mandalikatt mungkin menarik,jika anda nikmat main strategis mandalikatt mungkin tarik,"['jika', 'anda', 'menikmati', 'permainan', 'strategis', 'mandalikatt', 'mungkin', 'menarik']",8,69
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.380.216.414.980,ekkodista,Langsung beli surya,0,langsung beli surya,0,langsung beli surya,langsung beli surya,"['langsung', 'beli', 'surya']",3,19
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.552.739.980,pamujiaji4824,Saya kira ini mobilnya Farrel,0,mobilnya farrel,0,saya kira ini mobilnya farrel,saya kira ini mobil farrel,"['saya', 'kira', 'ini', 'mobilnya', 'farrel']",5,29
ycGdOc17FhA,"CITY HATCHBACK NAIK SPEK, MENGEJUTKAN DI MANDALIKA",Fitra Eri,2025-04-26 06:01:01+00:00,LailaHidayat-s2t,"bro , lo udah cobain alexis17 ? dijamin nagih abis !",1,"bro , lo udah cobain alexis17 ? dijamin nagih abis !",1,bro lo udah cobain alexisit dijamin nagih abis,bro lo udah cobain alexisit jamin nagih abis,"['bro', 'lo', 'udah', 'cobain', 'alexisit', 'dijamin', 'nagih', 'abis']",8,52
5MBwJpU-9tg,"Rifat Sungkar Mau Bikin Sirkuit⁉️ | Dipo, Ziko Belajar Dari Suhu Motorsports",Garasi Drift Podcast,2025-04-30 09:00:07+00:00,KameronMalika-i3u,class bos 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 gak ribet depo cepat wd lancar,1,class bos 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 gak ribet depo cepat wd lancar,1,class bos weton88 gak ribet depo cepat wd lancar,class bos weton88 gak ribet depo cepat wd lancar,"['class', 'bos', 'weton88', 'gak', 'ribet', 'depo', 'cepat', 'wd', 'lancar']",9,48
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,174.421.427.271.803,rennqii21,"Pertanyaannya, presiden gk punya tim yg bacain berita kah?",0,"pertanyaannya , presiden gk punya tim yg bacain berita kah ?",0,pertanyaannya presiden gk punya tim yg bacain berita kah,tanya presiden gk punya tim yg bacain berita kah,"['pertanyaannya', 'presiden', 'gk', 'punya', 'tim', 'yg', 'bacain', 'berita', 'kah']",9,58
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.398.245.196.490,belzexd,Hpnya ISHOWTECH,0,hpnya ishowtech,0,hpnya ishowtech,hpnya ishowtech,"['hpnya', 'ishowtech']",2,15
