video_id,channel_name,komentar,label,komentar_clean,komentar_stage1
Ou0UedfyuqU,GadgetIn,"swert bonanja gacir pol , puas banget",1,swert bonanja gacir pol puas banget,"swert bonanja gacir pol , puas banget"
BI_RsNf1HJA,Garasi Drift,Gas ngab zikoo konten Mio 😂,0,gas ngab zikoo konten mio wajah_gembira_berurai_air_mata,gas ngab zikoo konten mio :wajah_gembira_berurai_air_mata:
QpXcKzQInXg,Garasi Drift,Semua tergantung dana...😂,0,semua tergantung dana wajah_gembira_berurai_air_mata,semua tergantung dana...:wajah_gembira_berurai_air_mata:
BI_RsNf1HJA,Garasi Drift,Sekarang gd update videonya ngga harus hari jumat ya,0,sekarang gd update videonya ngga harus hari jumat ya,sekarang gd update videonya ngga harus hari jumat ya
nZoNbiwP2ZE,Garasi Drift,"Jepe trs tiap hari, cuma di 𝐃O𝑅𝐴𝟽𝟩",1,jepe trs tiap hari cuma di DoRA77,"jepe trs tiap hari, cuma di DoRA77"
kUom1fDXs4A,Fitra Eri,dan bila esookk,0,dan bila esookk,dan bila esookk
kUom1fDXs4A,Fitra Eri,"Baru jepe 2 kali, wede lancar banget",1,baru jepe 2 kali wede lancar banget,"baru jepe 2 kali, wede lancar banget"
f8UEkmYXlzA,Pandji Pragiwaksono,Trgantung nenek,0,trgantung nenek,trgantung nenek
VXqMJqP7mvk,GadgetIn,​ @Pembunuh-Zionis-Pesek ya tetep aja teknologinya meh gak ada inovasi,0,​ pembunuh zionis pesek ya tetep aja teknologinya meh gak ada inovasi,​ @pembunuh-zionis-pesek ya tetep aja teknologinya meh gak ada inovasi
f8UEkmYXlzA,Pandji Pragiwaksono,"sketer sering keluar, jepek terus jadinya",1,sketer sering keluar jepek terus jadinya,"sketer sering keluar, jepek terus jadinya"
VXqMJqP7mvk,GadgetIn,"Takut salah ngelipet
Toklek layar-e",0,takut salah ngelipet toklek layar e,"takut salah ngelipet
toklek layar-e"
f8UEkmYXlzA,Pandji Pragiwaksono,"Yess buat ahok , anis?? Big NO!!!",0,yess buat ahok anis big no,"yess buat ahok , anis?? big no!!!"
nZoNbiwP2ZE,Garasi Drift,GARASI DRIFT ON TOP🔥🔥🔥,0,garasi drift on top api api api,garasi drift on top:api::api::api:
QpXcKzQInXg,Garasi Drift,"jepey trs tiap hari, cuma di 𝘋𝐄𝘞𝐀𝐃O𝐑𝘈",1,jepey trs tiap hari cuma di DEWADoRA,"jepey trs tiap hari, cuma di DEWADoRA"
gP0YCMCJnjA,Narasi Newsroom,My brother❤❤,0,my brother hati_merah hati_merah,my brother:hati_merah::hati_merah:
5MBwJpU-9tg,Garasi Drift Podcast,alexis17 terbaik dah,1,alexis17 terbaik dah,alexis17 terbaik dah
BI_RsNf1HJA,Garasi Drift,Yoii dong modif motor,0,yoii dong modif motor,yoii dong modif motor
aA9G2sW212g,Om Mobi,"auto jepey ! λ l e x i s 1 7 ,",1,auto jepey λ l e x i s 1 7,"auto jepey ! λ l e x i s 1 7 ,"
f8UEkmYXlzA,Pandji Pragiwaksono,Nungguin ahok nyapres.,0,nungguin ahok nyapres,nungguin ahok nyapres.
4-hj6CwvKpU,Motomobi,11:34 dinginin stnk😂,0,11 34 dinginin stnk wajah_gembira_berurai_air_mata,11:34 dinginin stnk:wajah_gembira_berurai_air_mata:
gP0YCMCJnjA,Narasi Newsroom,anak abah2,0,anak abah2,anak abah2
QpXcKzQInXg,Garasi Drift,KPK menonton 🫣,0,kpk menonton wajah_dengan_mata_mengintip,kpk menonton :wajah_dengan_mata_mengintip:
VXqMJqP7mvk,GadgetIn,"selalu desain baru, old nokia, miss you so much!",0,selalu desain baru old nokia miss you so much,"selalu desain baru, old nokia, miss you so much!"
QpXcKzQInXg,Garasi Drift,kelas emang DUIT DPR✌️,0,kelas emang duit dpr isyarat_kemenangan,kelas emang duit dpr:isyarat_kemenangan:
4-hj6CwvKpU,Motomobi,"ALEXIS-17☯ emang ga ada duanya, pelayanan VIP buat semua member",1,alexis 17 yin_yang emang ga ada duanya pelayanan vip buat semua member,"alexis-17:yin_yang: emang ga ada duanya, pelayanan vip buat semua member"
-vQDp9fHrzk,Karbida FC,KW Kualitas Wenak 😂,0,kw kualitas wenak wajah_gembira_berurai_air_mata,kw kualitas wenak :wajah_gembira_berurai_air_mata:
4-hj6CwvKpU,Motomobi,"Sejak kenal ALEXIS⭐17⭐, gue jadi punya banyak koneksi bisnis.",1,sejak kenal alexis bintang_medium_putih 17 bintang_medium_putih gue jadi punya banyak koneksi bisnis,"sejak kenal alexis:bintang_medium_putih:17:bintang_medium_putih:, gue jadi punya banyak koneksi bisnis."
f8UEkmYXlzA,Pandji Pragiwaksono,"""musuh menemukan saya"" wkwkwkw",0,musuh menemukan saya wkwkwkw,"""musuh menemukan saya"" wkwkwkw"
VXqMJqP7mvk,GadgetIn,temen kampus gue heran liat gue sukses gara-gara alexis17 .,1,temen kampus gue heran liat gue sukses gara gara alexis17,temen kampus gue heran liat gue sukses gara-gara alexis17 .
8AzDe6gMOck,Garasi Drift,bilal on top,0,bilal on top,bilal on top
8AzDe6gMOck,Garasi Drift,geloo 𝗦𝗚𝗜𝟴𝟴 cair x100,1,geloo SGI88 cair x100,geloo SGI88 cair x100
rrUoGtfU9kw,Fitra Eri,si alexis17 rajin banget udah rebahan pagi .,1,si alexis17 rajin banget udah rebahan pagi,si alexis17 rajin banget udah rebahan pagi .
-vQDp9fHrzk,Karbida FC,Jakpot besar bikin aku makin 5:52 bahagia tiap kali main di MANDALIKA-77-!,1,jakpot besar bikin aku makin 5 52 bahagia tiap kali main di mandalika 77,jakpot besar bikin aku makin 5:52 bahagia tiap kali main di mandalika-77-!
VXqMJqP7mvk,GadgetIn,warna maroon nya gokil sih,0,warna maroon nya gokil sih,warna maroon nya gokil sih
nZoNbiwP2ZE,Garasi Drift,"nyelot gak pernah ribet MANTAB MANDALIKA77,,gak pernah rugi kalo main di sini, dari awal main sampai sekarang selalu WD, walaupun gak sampe maxwin, setidaknya modal gw selalu balik 2x lipat gas..",1,nyelot gak pernah ribet mantab mandalika77 gak pernah rugi kalo main di sini dari awal main sampai sekarang selalu wd walaupun gak sampe maxwin setidaknya modal gw selalu balik 2x lipat gas,"nyelot gak pernah ribet mantab mandalika77,,gak pernah rugi kalo main di sini, dari awal main sampai sekarang selalu wd, walaupun gak sampe maxwin, setidaknya modal gw selalu balik 2x lipat gas.."
rrUoGtfU9kw,Fitra Eri,bro kemana aja sih ? alexis 17 bagi-bagi mobil nih member setia,1,bro kemana aja sih alexis 17 bagi bagi mobil nih member setia,bro kemana aja sih ? alexis 17 bagi-bagi mobil nih member setia
aA9G2sW212g,Om Mobi,gue cek notif alexis17 .,1,gue cek notif alexis17,gue cek notif alexis17 .
gP0YCMCJnjA,Narasi Newsroom,HAHAAHAHAHAHAHAhAhA,0,hahaahahahahahahaha,hahaahahahahahahaha
QpXcKzQInXg,Garasi Drift,"Mobil Subaru emang Keren,my Fav bgt👍👍",0,mobil subaru emang keren my fav bgt jempol_ke_atas jempol_ke_atas,"mobil subaru emang keren,my fav bgt:jempol_ke_atas::jempol_ke_atas:"
VXqMJqP7mvk,GadgetIn,"9:52 pa bos wkwk, exactly org yg bakal beli ni hp😭",0,9 52 pa bos wkwk exactly org yg bakal beli ni hp wajah_menangis_keras,"9:52 pa bos wkwk, exactly org yg bakal beli ni hp:wajah_menangis_keras:"
-vQDp9fHrzk,Karbida FC,Terus berkembang arhan semangattt!!!!! Salam 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓! gampang Jepe,1,terus berkembang arhan semangattt salam PROBET855 gampang jepe,terus berkembang arhan semangattt!!!!! salam PROBET855! gampang jepe
gP0YCMCJnjA,Narasi Newsroom,Mba Nana is still the same😅😅😅😅😅😊😊😊,0,mba nana is still the same wajah_tersenyum_lebar_dan_berkeringat wajah_tersenyum_lebar_dan_berkeringat wajah_tersenyum_lebar_dan_berkeringat wajah_tersenyum_lebar_dan_berkeringat wajah_tersenyum_lebar_dan_berkeringat wajah_tersenyum_dengan_mata_bahagia wajah_tersenyum_dengan_mata_bahagia wajah_tersenyum_dengan_mata_bahagia,mba nana is still the same:wajah_tersenyum_lebar_dan_berkeringat::wajah_tersenyum_lebar_dan_berkeringat::wajah_tersenyum_lebar_dan_berkeringat::wajah_tersenyum_lebar_dan_berkeringat::wajah_tersenyum_lebar_dan_berkeringat::wajah_tersenyum_dengan_mata_bahagia::wajah_tersenyum_dengan_mata_bahagia::wajah_tersenyum_dengan_mata_bahagia:
nZoNbiwP2ZE,Garasi Drift,Udah lecet harga turun bang,0,udah lecet harga turun bang,udah lecet harga turun bang
aA9G2sW212g,Om Mobi,"seminggu main alexis17 , gue udah lunasi hutang !",1,seminggu main alexis17 gue udah lunasi hutang,"seminggu main alexis17 , gue udah lunasi hutang !"
gP0YCMCJnjA,Narasi Newsroom,viewnya kq gak nyampe jutaan? rakyat pd gak tertarik ya? 😅,0,viewnya kq gak nyampe jutaan rakyat pd gak tertarik ya wajah_tersenyum_lebar_dan_berkeringat,viewnya kq gak nyampe jutaan? rakyat pd gak tertarik ya? :wajah_tersenyum_lebar_dan_berkeringat:
BI_RsNf1HJA,Garasi Drift,Ｐｕｌａｕ７７７ selalu menghadirkan pengalaman unik,1,pulau777 selalu menghadirkan pengalaman unik,pulau777 selalu menghadirkan pengalaman unik
f8UEkmYXlzA,Pandji Pragiwaksono,Mantap pak Ahok ❤❤,0,mantap pak ahok hati_merah hati_merah,mantap pak ahok :hati_merah::hati_merah:
VXqMJqP7mvk,GadgetIn,"maen santai, jepe terus di sini",1,maen santai jepe terus di sini,"maen santai, jepe terus di sini"
gP0YCMCJnjA,Narasi Newsroom,"suka compare sama negara dibawah, keliatan banget haus validasi",0,suka compare sama negara dibawah keliatan banget haus validasi,"suka compare sama negara dibawah, keliatan banget haus validasi"
5MBwJpU-9tg,Garasi Drift Podcast,gw gw jp alexis17 sekebon ni manusia,1,gw gw jp alexis17 sekebon ni manusia,gw gw jp alexis17 sekebon ni manusia
gP0YCMCJnjA,Narasi Newsroom,bla bla bla ble ble ble blu blu blu,0,bla bla bla ble ble ble blu blu blu,bla bla bla ble ble ble blu blu blu
QpXcKzQInXg,Garasi Drift,Crostrek mana,0,crostrek mana,crostrek mana
4-hj6CwvKpU,Motomobi,Sekarang malah lebih berisi Ridwan daripada om mobi 😅,0,sekarang malah lebih berisi ridwan daripada om mobi wajah_tersenyum_lebar_dan_berkeringat,sekarang malah lebih berisi ridwan daripada om mobi :wajah_tersenyum_lebar_dan_berkeringat:
rrUoGtfU9kw,Fitra Eri,"alexis17 , udah denger bikin penasaran",1,alexis17 udah denger bikin penasaran,"alexis17 , udah denger bikin penasaran"
gP0YCMCJnjA,Narasi Newsroom,Ya Rabb..  Lindungilah Negriku..,0,ya rabb lindungilah negriku,ya rabb..  lindungilah negriku..
BI_RsNf1HJA,Garasi Drift,"TOMBOL LIKE ZIKO BANGUN MOTOR, TERUTAMA MIO 😅😅😅",0,tombol like ziko bangun motor terutama mio wajah_tersenyum_lebar_dan_berkeringat wajah_tersenyum_lebar_dan_berkeringat wajah_tersenyum_lebar_dan_berkeringat,"tombol like ziko bangun motor, terutama mio :wajah_tersenyum_lebar_dan_berkeringat::wajah_tersenyum_lebar_dan_berkeringat::wajah_tersenyum_lebar_dan_berkeringat:"
ldxzVrtqXFg,Wakil Presiden Republik Indonesia,Apa benar dari isi kepalanya sendiri 😂,0,apa benar dari isi kepalanya sendiri wajah_gembira_berurai_air_mata,apa benar dari isi kepalanya sendiri :wajah_gembira_berurai_air_mata:
4-hj6CwvKpU,Motomobi,Gue rela gak tidur demi ngikutin update terbaru ALEXIS⭐17⭐.,1,gue rela gak tidur demi ngikutin update terbaru alexis bintang_medium_putih 17 bintang_medium_putih,gue rela gak tidur demi ngikutin update terbaru alexis:bintang_medium_putih:17:bintang_medium_putih:.
gP0YCMCJnjA,Narasi Newsroom,Lu aja jadi presiden bang,0,lu aja jadi presiden bang,lu aja jadi presiden bang
QpXcKzQInXg,Garasi Drift,"buat geber 2kd/2gd sabi tu, langsung jadi genset hajatan",0,buat geber 2kd/2gd sabi tu langsung jadi genset hajatan,"buat geber 2kd/2gd sabi tu, langsung jadi genset hajatan"
-vQDp9fHrzk,Karbida FC,"kepala kalian lah sketer hitam , cuman di mandalika77 no tiputipu",1,kepala kalian lah sketer hitam cuman di mandalika77 no tiputipu,"kepala kalian lah sketer hitam , cuman di mandalika77 no tiputipu"
nZoNbiwP2ZE,Garasi Drift,"FYI gaes, mobil ini remuk di event tadi sore",0,fyi gaes mobil ini remuk di event tadi sore,"fyi gaes, mobil ini remuk di event tadi sore"
VXqMJqP7mvk,GadgetIn,"cek notif alexis17 , bangun tidur .",1,cek notif alexis17 bangun tidur,"cek notif alexis17 , bangun tidur ."
QpXcKzQInXg,Garasi Drift,ada yang tau tier turnamen drifter dari yang pemula sampe yang pro ?,0,ada yang tau tier turnamen drifter dari yang pemula sampe yang pro,ada yang tau tier turnamen drifter dari yang pemula sampe yang pro ?
ldxzVrtqXFg,Wakil Presiden Republik Indonesia,Menyusun kata2,0,menyusun kata2,menyusun kata2
gP0YCMCJnjA,Narasi Newsroom,@DatuakSegala  biasa bang pembenci kita berdebat jg gk akan menang,0,datuaksegala biasa bang pembenci kita berdebat jg gk akan menang,@datuaksegala  biasa bang pembenci kita berdebat jg gk akan menang
ldxzVrtqXFg,Wakil Presiden Republik Indonesia,ya amfuuuuuuuuuuuuuuuun,0,ya amfuuuuuuuuuuuuuuuun,ya amfuuuuuuuuuuuuuuuun
XI8K0-_kbHc,Jejelogy,Jangan lupa ping komen,0,jangan lupa ping komen,jangan lupa ping komen
QpXcKzQInXg,Garasi Drift,Berdiri sendiri tanpa aliansi,0,berdiri sendiri tanpa aliansi,berdiri sendiri tanpa aliansi
gRjWM8jPIPw,Fitra Eri,auto jepey ! 𝐒𝐆𝐈𝟖𝟖,1,auto jepey SGI88,auto jepey ! SGI88
QpXcKzQInXg,Garasi Drift,Brz lebih keren gapake wing,0,brz lebih keren gapake wing,brz lebih keren gapake wing
gP0YCMCJnjA,Narasi Newsroom,"@gema_17  jubirnya yang nyuruh kompas makan kepala babi itu ?


Wkwkw",0,gema_17 jubirnya yang nyuruh kompas makan kepala babi itu wkwkw,"@gema_17  jubirnya yang nyuruh kompas makan kepala babi itu ?


wkwkw"
nZoNbiwP2ZE,Garasi Drift,Kangen backsound gd dulu,0,kangen backsound gd dulu,kangen backsound gd dulu
VXqMJqP7mvk,GadgetIn,2jm lagi nyampai gw.,0,2jm lagi nyampai gw,2jm lagi nyampai gw.
nZoNbiwP2ZE,Garasi Drift,dan terjadi lagi..,0,dan terjadi lagi,dan terjadi lagi..
BI_RsNf1HJA,Garasi Drift,35:05 larry chen?,0,35 05 larry chen,35:05 larry chen?
n_mFKYFMtWY,Bus Pesona,Kemenangan besar menunggu Anda di PULAU.7.7.7,1,kemenangan besar menunggu anda di pulau 7 7 7,kemenangan besar menunggu anda di pulau.7.7.7
n_mFKYFMtWY,Bus Pesona,dasar mania jetbong!,0,dasar mania jetbong,dasar mania jetbong!
aA9G2sW212g,Om Mobi,"sebulan main alexis17 , hidup gue berubah total !",1,sebulan main alexis17 hidup gue berubah total,"sebulan main alexis17 , hidup gue berubah total !"
gP0YCMCJnjA,Narasi Newsroom,goat comment,0,goat comment,goat comment
gP0YCMCJnjA,Narasi Newsroom,"dari 2004 sampai dengan 2024, gak pernah milih bapak ini",0,dari 2004 sampai dengan 2024 gak pernah milih bapak ini,"dari 2004 sampai dengan 2024, gak pernah milih bapak ini"
CLHTLViZ8Uc,Den Dimas,"berkah rezeki berkat 𝗦𝗚𝗜𝟴𝟴 , puji syukur !",1,berkah rezeki berkat SGI88 puji syukur,"berkah rezeki berkat SGI88 , puji syukur !"
BI_RsNf1HJA,Garasi Drift,Mantap konten motor...gass mass,0,mantap konten motor gass mass,mantap konten motor...gass mass
gP0YCMCJnjA,Narasi Newsroom,"​ @gaidomang nahhh itu, kalau terlalu uncensored, berabe nanti.",0,​ gaidomang nahhh itu kalau terlalu uncensored berabe nanti,"​ @gaidomang nahhh itu, kalau terlalu uncensored, berabe nanti."
nZoNbiwP2ZE,Garasi Drift,"keren banget, sukses 👍🙌🙌🙌",0,keren banget sukses jempol_ke_atas mengangkat_tangan mengangkat_tangan mengangkat_tangan,"keren banget, sukses :jempol_ke_atas::mengangkat_tangan::mengangkat_tangan::mengangkat_tangan:"
gP0YCMCJnjA,Narasi Newsroom,Sangat membantu,0,sangat membantu,sangat membantu
-vQDp9fHrzk,Karbida FC,Modal berapapun di mandalika77 pasti dikasih pecahan. Gak nyesel deh main di sini. Mantap,1,modal berapapun di mandalika77 pasti dikasih pecahan gak nyesel deh main di sini mantap,modal berapapun di mandalika77 pasti dikasih pecahan. gak nyesel deh main di sini. mantap
kUom1fDXs4A,Fitra Eri,Sealion 7 dannnnnn😂,0,sealion 7 dannnnnn wajah_gembira_berurai_air_mata,sealion 7 dannnnnn:wajah_gembira_berurai_air_mata:
Ou0UedfyuqU,GadgetIn,"gacur parah , modal receh makswin",1,gacur parah modal receh makswin,"gacur parah , modal receh makswin"
QpXcKzQInXg,Garasi Drift,waduuhhh gak bahaya tah.,0,waduuhhh gak bahaya tah,waduuhhh gak bahaya tah.
BI_RsNf1HJA,Garasi Drift,Wey mbak sales ada pak bos bukan disapa malah ngobrol😂😂😂,0,wey mbak sales ada pak bos bukan disapa malah ngobrol wajah_gembira_berurai_air_mata wajah_gembira_berurai_air_mata wajah_gembira_berurai_air_mata,wey mbak sales ada pak bos bukan disapa malah ngobrol:wajah_gembira_berurai_air_mata::wajah_gembira_berurai_air_mata::wajah_gembira_berurai_air_mata:
VXqMJqP7mvk,GadgetIn,Langsung beli kopi kapal api biar sadar.,0,langsung beli kopi kapal api biar sadar,langsung beli kopi kapal api biar sadar.
gP0YCMCJnjA,Narasi Newsroom,"makasih bro, capek banget denger opah ngedongeng",0,makasih bro capek banget denger opah ngedongeng,"makasih bro, capek banget denger opah ngedongeng"
nZoNbiwP2ZE,Garasi Drift,sumpah ini mobil drift terkeren menurut gua pribadi,0,sumpah ini mobil drift terkeren menurut gua pribadi,sumpah ini mobil drift terkeren menurut gua pribadi
gP0YCMCJnjA,Narasi Newsroom,pekerjaan pak kami butuh pkerjaan jangan pajak nya aja yang gede,0,pekerjaan pak kami butuh pkerjaan jangan pajak nya aja yang gede,pekerjaan pak kami butuh pkerjaan jangan pajak nya aja yang gede
ldxzVrtqXFg,Wakil Presiden Republik Indonesia,Dia yang ngomong.. Gw yang malu.. Bran bran😅,0,dia yang ngomong gw yang malu bran bran wajah_tersenyum_lebar_dan_berkeringat,dia yang ngomong.. gw yang malu.. bran bran:wajah_tersenyum_lebar_dan_berkeringat:
f8UEkmYXlzA,Pandji Pragiwaksono,Ahok + KDM for 2029 seru kali ya ??,0,ahok + kdm for 2029 seru kali ya,ahok + kdm for 2029 seru kali ya ??
QpXcKzQInXg,Garasi Drift,masih nunggu sampe sekrang,0,masih nunggu sampe sekrang,masih nunggu sampe sekrang
VXqMJqP7mvk,GadgetIn,"Gua bang, 😂",0,gua bang wajah_gembira_berurai_air_mata,"gua bang, :wajah_gembira_berurai_air_mata:"
aA9G2sW212g,Om Mobi,"alexis17 , emang top dah , ga bikin kecewa jaman purba sampe kiamat",1,alexis17 emang top dah ga bikin kecewa jaman purba sampe kiamat,"alexis17 , emang top dah , ga bikin kecewa jaman purba sampe kiamat"
f8UEkmYXlzA,Pandji Pragiwaksono," @lockysigarlaki163  ah gak juga, saya pendukung Ahok koq",0,lockysigarlaki163 ah gak juga saya pendukung ahok koq," @lockysigarlaki163  ah gak juga, saya pendukung ahok koq"
Ou0UedfyuqU,GadgetIn,gue rela gak tidur ngikutin update terbaru alexis17 .,1,gue rela gak tidur ngikutin update terbaru alexis17,gue rela gak tidur ngikutin update terbaru alexis17 .
ldxzVrtqXFg,Wakil Presiden Republik Indonesia,"Loh ada dua Akun, Auto DISLIKE",0,loh ada dua akun auto dislike,"loh ada dua akun, auto dislike"
ycGdOc17FhA,Fitra Eri,tolong gua kejebak depo dialexis17 jd candu bgt kbnykan menang .,1,tolong gua kejebak depo dialexis17 jd candu bgt kbnykan menang,tolong gua kejebak depo dialexis17 jd candu bgt kbnykan menang .
ldxzVrtqXFg,Wakil Presiden Republik Indonesia,Ngomong aja masih kek baca text 🗿🗿,0,ngomong aja masih kek baca text moai moai,ngomong aja masih kek baca text :moai::moai:
8AzDe6gMOck,Garasi Drift,"lo ngopi , gue cuan . bedanya ? gue main pu lau tujuh tujuh tujuh !",1,lo ngopi gue cuan bedanya gue main pu lau tujuh tujuh tujuh,"lo ngopi , gue cuan . bedanya ? gue main pu lau tujuh tujuh tujuh !"
f8UEkmYXlzA,Pandji Pragiwaksono,05:35 ⚡️Ｐ ＵＬ 4 Ｕ Ｗ 1 Ｎ ⚡️ tempat ngadu nasib wkwkw,1,05 35 tegangan_tinggi p ul 4 u w 1 n tegangan_tinggi tempat ngadu nasib wkwkw,05:35 :tegangan_tinggi:p ul 4 u w 1 n :tegangan_tinggi: tempat ngadu nasib wkwkw
nZoNbiwP2ZE,Garasi Drift,Sebelahan sama BRZiko jadiin wallpaper 👌🏼,0,sebelahan sama brziko jadiin wallpaper oke_warna_kulit_cerah sedang,sebelahan sama brziko jadiin wallpaper :oke_warna_kulit_cerah-sedang:
BI_RsNf1HJA,Garasi Drift,ga sabarannn pen liat ❤,0,ga sabarannn pen liat hati_merah,ga sabarannn pen liat :hati_merah:
VXqMJqP7mvk,GadgetIn,"sumpah , 𝘼𝙇𝙀𝙓𝙄𝙎17 bikin hidup gue simpel , asli . tenan .",1,sumpah ALEXIS17 bikin hidup gue simpel asli tenan,"sumpah , ALEXIS17 bikin hidup gue simpel , asli . tenan ."
nZoNbiwP2ZE,Garasi Drift,Yg di tunggu tunggu subaru crosstreck,0,yg di tunggu tunggu subaru crosstreck,yg di tunggu tunggu subaru crosstreck
nZoNbiwP2ZE,Garasi Drift,A1 prorock...!🙏,0,a1 prorock melipat_tangan,a1 prorock...!:melipat_tangan:
gP0YCMCJnjA,Narasi Newsroom,Buzzeer lw yaakk,0,buzzeer lw yaakk,buzzeer lw yaakk
VXqMJqP7mvk,GadgetIn,wa ta fak men,0,wa ta fak men,wa ta fak men
gP0YCMCJnjA,Narasi Newsroom,"Sekali doank..lagi😅😅, 22 nya mati",0,sekali doank lagi wajah_tersenyum_lebar_dan_berkeringat wajah_tersenyum_lebar_dan_berkeringat 22 nya mati,"sekali doank..lagi:wajah_tersenyum_lebar_dan_berkeringat::wajah_tersenyum_lebar_dan_berkeringat:, 22 nya mati"
VXqMJqP7mvk,GadgetIn,"𝘼𝙇𝙀𝙓𝙄𝙎17 bikin hidup gue simpel , asli . gila .",1,ALEXIS17 bikin hidup gue simpel asli gila,"ALEXIS17 bikin hidup gue simpel , asli . gila ."
ycGdOc17FhA,Fitra Eri,"wede aman , petir merah bikin mekswin",1,wede aman petir merah bikin mekswin,"wede aman , petir merah bikin mekswin"
ycGdOc17FhA,Fitra Eri,"seminggu join alexis17 , gue udah beliin ortu kulkas !",1,seminggu join alexis17 gue udah beliin ortu kulkas,"seminggu join alexis17 , gue udah beliin ortu kulkas !"
f8UEkmYXlzA,Pandji Pragiwaksono,atas kasih lampu gantung bang biar lebih seperti introgasi 😅,0,atas kasih lampu gantung bang biar lebih seperti introgasi wajah_tersenyum_lebar_dan_berkeringat,atas kasih lampu gantung bang biar lebih seperti introgasi :wajah_tersenyum_lebar_dan_berkeringat:
VXqMJqP7mvk,GadgetIn,"50juta an aja, aja bang?",0,50juta an aja aja bang,"50juta an aja, aja bang?"
f8UEkmYXlzA,Pandji Pragiwaksono,Menurut anda komposisi nya siapa aja​ @camperer ,0,menurut anda komposisi nya siapa aja​ camperer,menurut anda komposisi nya siapa aja​ @camperer 
gP0YCMCJnjA,Narasi Newsroom,@ emak lu sekeluarga kali stunting,0,emak lu sekeluarga kali stunting,@ emak lu sekeluarga kali stunting
VXqMJqP7mvk,GadgetIn,​ @user-qr9pb6oy1w chipset Kirin wkwkwkwk  😂 mereka blum tau rasanya 😂 SE 🥔,0,​ user qr9pb6oy1w chipset kirin wkwkwkwk wajah_gembira_berurai_air_mata mereka blum tau rasanya wajah_gembira_berurai_air_mata se kentang,​ @user-qr9pb6oy1w chipset kirin wkwkwkwk  :wajah_gembira_berurai_air_mata: mereka blum tau rasanya :wajah_gembira_berurai_air_mata: se :kentang:
VXqMJqP7mvk,GadgetIn,"iya lagi ..hahah, dulu di remehin banget",0,iya lagi hahah dulu di remehin banget,"iya lagi ..hahah, dulu di remehin banget"
ycGdOc17FhA,Fitra Eri,"sukaaa bangettt λlexis17 ,",1,sukaaa bangettt λlexis17,"sukaaa bangettt λlexis17 ,"
VXqMJqP7mvk,GadgetIn,Gokil sih hp ini dengan lipat 3 .,0,gokil sih hp ini dengan lipat 3,gokil sih hp ini dengan lipat 3 .
BI_RsNf1HJA,Garasi Drift,Anjir judol udh sampe ke yt spam komen ga wkwkw,0,anjir judol udh sampe ke yt spam komen ga wkwkw,anjir judol udh sampe ke yt spam komen ga wkwkw
VXqMJqP7mvk,GadgetIn,"gue 𝘼𝙇𝙀𝙓𝙄𝙎17 aja , .",1,gue ALEXIS17 aja,"gue ALEXIS17 aja , ."
nZoNbiwP2ZE,Garasi Drift,​ @CrestedDuckk Cara menghormati orang yg sudah meninggal bg,0,​ crestedduckk cara menghormati orang yg sudah meninggal bg,​ @crestedduckk cara menghormati orang yg sudah meninggal bg
QpXcKzQInXg,Garasi Drift,Gacir? Udah pasti di ρüℓAυ777.,1,gacir udah pasti di pülau777,gacir? udah pasti di pülau777.
4-hj6CwvKpU,Motomobi,Dah ah tobat gk maenGaruda-hoki lg abis maxwin soalnya😭,1,dah ah tobat gk maengaruda hoki lg abis maxwin soalnya wajah_menangis_keras,dah ah tobat gk maengaruda-hoki lg abis maxwin soalnya:wajah_menangis_keras:
ldxzVrtqXFg,Wakil Presiden Republik Indonesia,"Hahahha, katanya wapres tapi kok gak ada aura2 wapresnya",0,hahahha katanya wapres tapi kok gak ada aura2 wapresnya,"hahahha, katanya wapres tapi kok gak ada aura2 wapresnya"
gP0YCMCJnjA,Narasi Newsroom,Perlu dinominasikan sebagai pendongeng terbaik,0,perlu dinominasikan sebagai pendongeng terbaik,perlu dinominasikan sebagai pendongeng terbaik
nZoNbiwP2ZE,Garasi Drift,projectnya GD emg ga pernah main2,0,projectnya gd emg ga pernah main2,projectnya gd emg ga pernah main2
QpXcKzQInXg,Garasi Drift,Ini ngerti ga si🤣,0,ini ngerti ga si tertawa_terbahak bahak,ini ngerti ga si:tertawa_terbahak-bahak:
-vQDp9fHrzk,Karbida FC,"Mantap banget, trending no 1! 𝐊O𝐈𝐒𝕃O𝐓 mantap!",1,mantap banget trending no 1 KoISLoT mantap,"mantap banget, trending no 1! KoISLoT mantap!"
aA9G2sW212g,Om Mobi,"happy banget , a𝙂us𝑇ot𝑂-keberuntungan !",1,happy banget aGusTotO keberuntungan,"happy banget , aGusTotO-keberuntungan !"
QpXcKzQInXg,Garasi Drift,S15 terlupakan sekarang,0,s15 terlupakan sekarang,s15 terlupakan sekarang
VXqMJqP7mvk,GadgetIn,Otw beli dua satu buat istri😊,0,otw beli dua satu buat istri wajah_tersenyum_dengan_mata_bahagia,otw beli dua satu buat istri:wajah_tersenyum_dengan_mata_bahagia:
VXqMJqP7mvk,GadgetIn,sekali jatuh tiba2 kena penyakit serangan jantung 🗿🗿🗿,0,sekali jatuh tiba2 kena penyakit serangan jantung moai moai moai,sekali jatuh tiba2 kena penyakit serangan jantung :moai::moai::moai:
